çå®æµåº¦,é¢æµæµåº¦,Unnamed: 2,AlertScore,AlertLevel,Level
535.8,598.5682,31.91259,646.437085,3,2
529.7,555.0002,31.493084,602.239826,3,2
855.1,819.7519,30.904564,866.108746,4,4
448,422.1202,28.681309,465.1421635,2,2
149.7,150.01648,25.335674,188.019991,1,1
473.7,473.17996,28.696499,516.2247085,2,2
535.8,634.4356,32.02854,682.47841,3,2
149.7,152.98482,22.362558,186.528657,1,1
983.7,966.1978,31.026768,1012.737952,4,4
147.6,157.46072,21.268568,189.363572,1,1
955.3,931.5909,32.875046,980.903469,4,4
43.3,57.95899,24.681942,94.981903,1,1
151.4,138.8606,21.12392,170.54648,1,1
847.1,840.62897,32.445023,889.2965045,4,4
967.6,872.3765,31.323406,919.361609,4,4
42.3,61.604286,25.740732,100.215384,1,1
824.2,801.2879,30.576138,847.152107,4,4
523,497.4155,31.685364,544.943546,2,2
451.1,436.61377,29.066868,480.214072,2,2
321.3,344.39395,28.742554,387.507781,2,2
857.9,815.0732,32.279346,863.492219,4,4
848.1,828.962,32.251957,877.3399355,4,4
566.1,570.7228,30.987667,617.2043005,3,2
235.6,192.40924,25.528147,230.7014605,1,1
254,232.0858,23.911654,267.953281,1,1
376.2,388.39157,28.528597,431.1844655,2,2
853.5,945.35956,33.993237,996.3494155,4,4
235.6,246.69212,25.757828,285.328862,1,1
830.9,812.9457,33.224247,862.7820705,4,4
341.3,329.7038,28.68819,372.736085,2,2
158.9,210.82747,26.117254,250.003351,1,1
362.9,447.97903,31.68191,495.501895,2,2
52.8,55.611782,24.415527,92.2350725,1,1
542,706.3002,31.377728,753.366792,3,2
256.1,246.78711,24.67435,283.798635,1,1
288.6,251.30249,27.204338,292.108997,1,1
372.9,374.596,29.18853,418.378795,2,2
583.8,597.89545,32.509262,646.659343,3,3
941.3,953.3604,32.082733,1001.4845,4,4
148.5,126.709206,23.380926,161.780595,1,1
235.8,219.89575,29.159697,263.6352955,1,1
279.4,355.24387,28.3079,397.70572,2,1
828.7,813.42194,32.661976,862.414904,4,4
973.9,955.9889,32.89293,1005.328295,4,4
640.4,722.9006,31.433437,770.0507555,3,3
756.9,759.3285,32.731068,808.425102,3,3
264.4,328.31097,28.860922,371.602353,2,1
434.3,431.2662,29.29997,475.216155,2,2
417.8,460.2168,29.228886,504.060129,2,2
437,439.66483,28.662647,482.6588005,2,2
376.2,323.4793,27.701637,365.0317555,2,2
370.1,353.87955,28.625854,396.818331,2,2
633.7,739.1817,29.894257,784.0230855,3,3
973.9,895.40717,31.650871,942.8834765,4,4
417.2,393.07663,28.583014,435.951151,2,2
166.9,145.56442,23.271935,180.4723225,1,1
51.4,49.56562,22.696903,83.6109745,1,1
535.8,559.7248,31.757057,607.3603855,3,2
739.1,731.6905,31.725431,779.2786465,3,3
64.6,120.45335,23.816452,156.178028,1,1
825.3,796.2542,32.343685,844.7697275,4,4
454.4,452.02524,29.768776,496.678404,2,2
166.9,164.57915,25.602547,202.9829705,1,1
235.6,237.86047,26.74704,277.98103,1,1
965,944.69495,34.499744,996.444566,4,4
462.5,436.23752,30.186672,481.517528,2,2
941.8,868.56067,33.466896,918.761014,4,4
889,787.3415,31.948399,835.2640985,4,4
52.4,57.937325,21.849564,90.711671,1,1
259.9,260.94507,25.533144,299.244786,1,1
862.1,850.52814,30.354286,896.059569,4,4
523,563.7178,29.8199,608.44765,3,2
583.8,564.00824,31.59249,611.396975,3,3
235.6,178.19818,26.285841,217.6269415,1,1
259.1,237.84383,26.419838,277.473587,1,1
439.5,412.50662,30.741314,458.618591,2,2
643.5,599.6191,31.666424,647.118736,3,3
59,52.25328,21.552126,84.581469,1,1
55,47.564842,25.116318,85.239319,1,1
523,610.50305,31.988838,658.486307,3,2
764.8,821.7642,32.394844,870.356466,4,3
236.5,232.57794,24.31422,269.04927,1,1
362.9,378.2137,29.589487,422.5979305,2,2
349.2,345.16714,28.07478,387.27931,2,2
264.4,148.09964,22.966763,182.5497845,1,1
936.9,722.84796,31.624228,770.284302,3,4
256.1,217.10616,25.781641,255.7786215,1,1
238.6,308.7135,27.728088,350.305632,2,1
357.5,345.39026,29.692127,389.9284505,2,2
467.2,403.4824,29.515903,447.7562545,2,2
357.6,374.19046,30.1633,419.43541,2,2
55,50.98478,23.672516,86.493554,1,1
756.9,779.5015,31.97672,827.46658,4,3
236.5,232.58704,25.15984,270.3268,1,1
457,614.78503,31.650688,662.261062,3,2
233.8,209.49808,23.60888,244.9114,1,1
475.9,429.60858,30.906116,475.967754,2,2
828.7,728.3625,30.94564,774.78096,3,4
121.9,94.55643,25.389816,132.641154,1,1
233.8,253.50897,24.844784,290.776146,1,1
773.5,780.48615,33.190674,830.272161,4,3
349.2,311.88028,27.488094,353.112421,2,2
761.3,750.1577,32.662933,799.1520995,3,3
23.8,35.710094,22.618702,69.638147,1,1
839.9,852.20667,33.729763,902.8013145,4,4
235.6,222.74115,25.466309,260.9406135,1,1
53.9,51.809467,22.993042,86.29903,1,1
152.3,152.8582,24.411453,189.4753795,1,1
647.9,669.9787,32.321503,718.4609545,3,3
967.6,836.36487,30.847858,882.636657,4,4
452.2,439.31375,27.524052,480.599828,2,2
535.8,502.01492,30.301056,547.466504,2,2
853.5,779.29767,31.578194,826.664961,4,4
650,618.88885,30.090076,664.023964,3,3
747,701.955,31.286495,748.8847425,3,3
523,534.37787,31.835953,582.1317995,3,2
535.1,590.6296,31.70614,638.18881,3,2
148.5,127.74415,21.108204,159.406456,1,1
862.1,811.5637,32.922737,860.9478055,4,4
627.6,634.2727,29.794203,678.9640045,3,3
579.6,507.67358,30.95022,554.09891,2,2
23.8,49.358475,21.928356,82.251009,1,1
973.9,936.80615,33.74642,987.42578,4,4
523,610.3953,29.975788,655.358982,3,2
142.4,153.57698,23.45562,188.76041,1,1
867.6,742.20496,32.84927,791.478865,3,4
372.9,375.8647,28.448616,418.537624,2,2
546.9,572.72723,31.725702,620.315783,3,2
579.6,625.441,31.4538,672.6217,3,2
985.3,968.72394,32.943985,1018.139917,4,4
955.3,967.5076,33.76715,1018.158325,4,4
853.5,891.2348,31.857647,939.0212705,4,4
640.4,760.1114,32.40796,808.72334,3,3
738.7,770.8832,31.675575,818.3965625,4,3
370.1,422.5491,28.693405,465.5892075,2,2
61.8,46.086403,22.815697,80.3099485,1,1
23.8,40.58348,22.952436,75.012134,1,1
523,581.8461,29.842697,626.6101455,3,2
336.5,307.46454,26.55606,347.29863,2,2
637.4,565.9811,30.025562,611.019443,3,3
259.9,225.07996,25.594458,263.471647,1,1
462.5,423.90506,28.056808,465.990272,2,2
121.9,126.748,27.508844,168.011266,1,1
965,959.1839,34.49126,1010.92079,4,4
148.5,153.8952,22.751259,188.0220885,1,1
53.9,53.179054,23.277035,88.0946065,1,1
579.6,583.8225,32.252934,632.201901,3,2
448,462.608,29.517994,506.884991,2,2
244.7,261.26862,27.211246,302.085489,1,1
256.1,228.8329,24.236057,265.1869855,1,1
145.3,149.39369,25.834766,188.145839,1,1
254,277.42087,25.07024,315.02623,1,1
965,935.03955,31.896935,982.8849525,4,4
181.2,151.45558,21.950626,184.381519,1,1
336.5,419.3351,30.23471,464.687165,2,2
43.3,82.200096,23.8512,117.976896,1,1
583.8,765.45074,30.967772,811.902398,3,3
523,465.51932,30.47025,511.224695,2,2
372.9,391.24716,28.214054,433.568241,2,2
149.7,157.14606,20.647394,188.117151,1,1
739.8,717.7345,31.984135,765.7107025,3,3
51.4,44.07361,24.767113,81.2242795,1,1
462.5,441.80032,27.79702,483.49585,2,2
828.7,798.2055,32.06449,846.302235,4,4
149.7,142.2782,21.968128,175.230392,1,1
457,421.66815,29.001839,465.1709085,2,2
775.4,653.9887,30.878841,700.3069615,3,3
59,44.88823,23.137335,79.5942325,1,1
972.1,974.7024,33.087563,1024.333745,4,4
523,567.36127,30.197098,612.656917,3,2
718.5,815.52313,31.698307,863.0705905,4,3
733.5,808.9423,31.655624,856.425736,4,3
121.9,140.03377,27.429745,181.1783875,1,1
147.6,155.08221,23.990244,191.067576,1,1
241.1,324.86133,28.34309,367.375965,2,1
61.8,46.539635,24.536356,83.344169,1,1
638,727.81464,31.025242,774.352503,3,3
43.3,54.257248,24.830917,91.5036235,1,1
632.2,606.0467,31.667328,653.547692,3,3
938,836.9567,33.23597,886.810655,4,4
653.6,602.8563,30.047365,647.9273475,3,3
651.5,528.1385,29.53345,572.438675,2,3
748.4,691.66425,31.730072,739.259358,3,3
569.8,637.13275,30.9837,683.6083,3,2
747,653.4418,31.19747,700.238005,3,3
647.9,669.41034,30.67452,715.42212,3,3
