真实浓度,预测浓度,浓度区间标签,预测浓度区间,风�?259.1,314.16864,2,3,1.48
535.8,598.5682,5,6,1.48,,,,
529.7,555.0002,5,5,1.48,,,,
855.1,819.7519,8,8,1.48,,,,
448,422.1202,4,4,1.07,,,,
149.7,150.01648,1,1,0.52,,,,
473.7,473.17996,4,5,1.07,,,,
535.8,634.4356,5,6,1.48,,,,
149.7,152.98482,1,1,0.52,,,,
983.7,966.1978,9,9,1.97,,,,
147.6,157.46072,1,1,0.23,,,,
955.3,931.5909,9,9,1.97,,,,
43.3,57.95899,0,0,1.48,,,,
151.4,138.8606,1,1,1.97,,,,
847.1,840.62897,8,8,1.07,,,,
967.6,872.3765,9,8,0.23,,,,
42.3,61.604286,0,0,0.23,,,,
824.2,801.2879,8,8,1.48,,,,
523,497.4155,5,5,1.07,,,,
451.1,436.61377,4,4,0.23,,,,
321.3,344.39395,3,3,1.48,,,,
857.9,815.0732,8,8,0.23,,,,
848.1,828.962,8,8,1.97,,,,
566.1,570.7228,5,5,1.48,,,,
235.6,192.40924,2,1,1.07,,,,
254,232.0858,2,2,0.52,,,,
376.2,388.39157,3,4,1.48,,,,
853.5,945.35956,8,9,0.23,,,,
235.6,246.69212,2,2,1.07,,,,
830.9,812.9457,8,8,1.97,,,,
341.3,329.7038,3,3,0.23,,,,
158.9,210.82747,1,2,0.52,,,,
362.9,447.97903,3,4,0.23,,,,
52.8,55.611782,0,0,1.07,,,,
542,706.3002,5,7,0.23,,,,
256.1,246.78711,2,2,0.23,,,,
288.6,251.30249,2,2,0.52,,,,
372.9,374.596,3,3,0.52,,,,
583.8,597.89545,5,6,1.48,,,,
941.3,953.3604,9,9,0.52,,,,
148.5,126.709206,1,1,1.07,,,,
235.8,219.89575,2,2,0.23,,,,
279.4,355.24387,2,3,1.07,,,,
828.7,813.42194,8,8,1.97,,,,
973.9,955.9889,9,9,1.07,,,,
640.4,722.9006,6,7,1.48,,,,
756.9,759.3285,7,7,1.07,,,,
264.4,328.31097,2,3,1.07,,,,
434.3,431.2662,4,4,1.07,,,,
417.8,460.2168,4,4,1.97,,,,
437,439.66483,4,4,0.52,,,,
376.2,323.4793,3,3,1.48,,,,
370.1,353.87955,3,3,1.07,,,,
633.7,739.1817,6,7,1.48,,,,
973.9,895.40717,9,9,1.07,,,,
417.2,393.07663,4,4,1.48,,,,
166.9,145.56442,1,1,1.97,,,,
51.4,49.56562,0,0,1.48,,,,
535.8,559.7248,5,6,1.48,,,,
739.1,731.6905,7,7,0.23,,,,
64.6,120.45335,0,1,1.48,,,,
825.3,796.2542,8,8,1.07,,,,
454.4,452.02524,4,4,1.97,,,,
166.9,164.57915,1,1,1.97,,,,
235.6,237.86047,2,2,1.07,,,,
965,944.69495,9,9,1.48,,,,
462.5,436.23752,4,4,0.23,,,,
